fiyat,il,ilce,emlak_tipi,m2_brut,m2_net,oda,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo,balkon,esyali,kullanim_durumu,site_icerisinde,krediye_uygun,kimden,takas,salon,banyo/oda
199900,istanbul,beylikdüzü,daire,125,110,2,0,1,10,doğalgaz,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
319000,istanbul,sultangazi,daire,100,90,2,7,2,5,doğalgaz,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
298000,istanbul,beylikdüzü,daire,130,120,3,7,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.3333333333333333
279000,istanbul,beylikdüzü,daire,125,115,2,0,2,5,doğalgaz,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
649000,istanbul,sultangazi,daire,135,125,3,28,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.3333333333333333
769000,istanbul,beylikdüzü,daire,160,145,3,0,2,5,doğalgaz,2,var,hayır,boş,evet,evet,emlak ofisinden,hayır,1,0.6666666666666666
199000,istanbul,beylikdüzü,daire,110,95,2,0,2,6,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
342000,istanbul,beylikdüzü,daire,130,120,2,0,6,8,merkezi,1,var,hayır,boş,evet,evet,emlak ofisinden,hayır,1,0.5
677000,istanbul,beylikdüzü,daire,145,130,3,3,2,4,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
928000,istanbul,beylikdüzü,daire,150,130,3,0,1,3,doğalgaz,2,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.6666666666666666
195000,istanbul,esenyurt,daire,95,80,2,1,2,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
319900,istanbul,beylikdüzü,daire,150,135,2,0,4,4,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,1.0
199900,istanbul,beylikdüzü,daire,105,90,2,0,3,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
450000,istanbul,beylikdüzü,daire,135,125,2,0,4,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
419000,istanbul,beylikdüzü,daire,95,85,2,0,1,4,doğalgaz,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
267750,istanbul,çekmeköy,daire,105,90,2,0,1,4,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
218000,istanbul,beylikdüzü,daire,120,100,2,0,2,13,merkezi,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
155000,istanbul,beylikdüzü,daire,110,100,2,0,1,3,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,1.0
205000,istanbul,beylikdüzü,daire,115,95,2,0,4,13,merkezi,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
689000,istanbul,beylikdüzü,daire,145,135,3,2,1,4,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
369000,istanbul,başakşehir,daire,100,95,2,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
213000,istanbul,esenyurt,daire,100,90,2,2,2,5,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
395000,istanbul,beylikdüzü,daire,150,140,3,0,16,18,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
239000,istanbul,esenyurt,daire,65,51,1,2,15,30,merkezi,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,1.0
254000,istanbul,esenyurt,daire,110,100,2,0,2,5,merkezi,1,yok,hayır,boş,evet,evet,inşaat firmasından,hayır,1,0.5
