fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
179000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  110,  95,  2+1,  2,  kot 1,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  hayır 
264000,istanbul , çekmeköy ,  20 ocak 2021,  satılık daire ,  115,  100,  3+1,  16-20 arası,  2,  2,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  belirtilmemiş,  emlak ofisinden,  hayır,  evet 
188000,istanbul , avcılar ,  20 ocak 2021,  satılık daire ,  90,  80,  2+1,  1,  4,  6,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
755000,istanbul , çekmeköy ,  20 ocak 2021,  satılık daire ,  78,  45,  1+1,  0,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  405,  birbahçe,  evet,  inşaat firmasından,  hayır,  hayır 
569000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  110,  2+1,  0,  1,  3,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
138000,istanbul , başakşehir ,  20 ocak 2021,  satılık daire ,  95,  80,  2+1,  0,  yüksek giriş,  5,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  15,  evet,  inşaat firmasından,  evet,  evet 
127000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  145,  135,  3+1,  2,  bahçe katı,  6,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
199000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  110,  2+1,  0,  7,  15,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
1399900,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  171,  135,  3+1,  0,  1,  5,  merkezi,  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
719000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  145,  130,  3+1,  0,  1,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  200,  evet,  inşaat firmasından,  evet,  evet 
233000,istanbul , esenyurt ,  20 ocak 2021,  satılık daire ,  125,  115,  2+1,  0,  3,  5,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  35,  evet,  inşaat firmasından,  hayır,  evet 
610000,istanbul , üsküdar ,  20 ocak 2021,  satılık daire ,  90,  75,  2+1,  5-10 arası,  1,  3,  doğalgaz (kombi),  1,  var,  hayır,  kiracılı,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
610000,istanbul , üsküdar ,  20 ocak 2021,  satılık daire ,  90,  75,  2+1,  5-10 arası,  1,  3,  doğalgaz (kombi),  1,  var,  hayır,  kiracılı,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
417500,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  105,  2+1,  0,  3,  6,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
