fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
950000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  95,  90,  2+1,  16-20 arası,  6,  18,  doğalgaz (kombi),  1,  var,  hayır,  boş,  250,  liderkent 3,  evet,  emlak ofisinden,  evet,  hayır 
375000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  70,  65,  1+1,  4,  yüksek giriş,  2,  klima,  1,  var,  hayır,  kiracılı,  evet,  150,  evet,  emlak ofisinden,  evet,  hayır 
300000,antalya , kepez ,  21 ocak 2021,   daire ,  65,  50,  1+1,  0,  2,  4,  klima,  1,  yok,  hayır,  boş,  200,  casa mia,  hayır,  emlak ofisinden,  evet,  evet 
2600000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  220,  200,  3+1,  5-10 arası,  2,  6,  yerden isıtma,  2,  var,  hayır,  boş,  belirtilmemiş,  garden loft,  evet,  emlak ofisinden,  evet,  hayır 
525000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  100,  90,  2+1,  5-10 arası,  giriş katı,  4,  klima,  1,  var,  evet,  boş,  evet,  100,  evet,  emlak ofisinden,  hayır,  hayır 
2875000,antalya , alanya ,  21 ocak 2021,   daire ,  390,  350,  5+1,  5-10 arası,  müstakil,  2,  klima,  4,  var,  evet,  boş,  hayır,  50,  evet,  emlak ofisinden,  evet,  hayır 
414999,antalya , muratpaşa ,  21 ocak 2021,   daire ,  170,  150,  4+1,  5-10 arası,  4,  4,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
365000,antalya , kepez ,  22 ocak 2021,   daire ,  135,  130,  3+1,  0,  2,  3,  klima,  1,  var,  hayır,  boş,  hayır,  20,  evet,  emlak ofisinden,  hayır,  hayır 
240000,antalya , kepez ,  21 ocak 2021,   daire ,  50,  45,  1+1,  1,  2,  3,  klima,  1,  yok,  hayır,  boş,  hayır,  20,  evet,  emlak ofisinden,  evet,  hayır 
455000,antalya , kepez ,  22 ocak 2021,   daire ,  135,  120,  3+1,  4,  2,  3,  klima,  1,  var,  hayır,  boş,  hayır,  30,  evet,  emlak ofisinden,  evet,  hayır 
567000,antalya , alanya ,  21 ocak 2021,   daire ,  125,  110,  2+1,  5-10 arası,  2,  4,  klima,  2,  var,  evet,  boş,  evet,  200,  evet,  emlak ofisinden,  hayır,  hayır 
675000,antalya , kepez ,  21 ocak 2021,   daire ,  310,  290,  6+2,  1,  2,  3,  doğalgaz (kombi),  3,  var,  hayır,  mülk sahibi,  hayır,  0,  evet,  emlak ofisinden,  hayır,  hayır 
289000,antalya , kepez ,  21 ocak 2021,   daire ,  120,  110,  2+1,  3,  3,  3,  klima,  1,  var,  hayır,  mülk sahibi,  hayır,  20,  evet,  emlak ofisinden,  hayır,  hayır 
440000,antalya , kepez ,  21 ocak 2021,   daire ,  117,  82,  2+1,  2,  5,  6,  klima,  1,  var,  hayır,  boş,  hayır,  100,  evet,  emlak ofisinden,  hayır,  hayır 
439000,antalya , kepez ,  21 ocak 2021,   daire ,  140,  127,  3+1,  5-10 arası,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  15,  evet,  emlak ofisinden,  evet,  evet 
790000,antalya , konyaaltı ,  21 ocak 2021,   daire ,  180,  170,  3+1,  5-10 arası,  bahçe katı,  2,  doğalgaz (kombi),  2,  var,  hayır,  kiracılı,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
400000,antalya , kepez ,  21 ocak 2021,   daire ,  135,  125,  3+1,  0,  3,  3,  klima,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
330000,antalya , korkuteli ,  21 ocak 2021,   daire ,  130,  125,  3+1,  1,  kot 3,  3,  kat kaloriferi,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
775000,antalya , muratpaşa ,  22 ocak 2021,   daire ,  150,  143,  3+1,  0,  1,  4,  yok,  2,  var,  hayır,  boş,  hayır,  45,  evet,  emlak ofisinden,  hayır,  evet 
332500,antalya , muratpaşa ,  22 ocak 2021,   daire ,  110,  95,  2+1,  4,  3,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  30,  evet,  emlak ofisinden,  hayır,  hayır 
228000,antalya , kepez ,  21 ocak 2021,   daire ,  105,  100,  2+1,  3,  yüksek giriş,  3,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  hayır,  emlak ofisinden,  hayır,  hayır 
1220000,antalya , alanya ,  21 ocak 2021,   daire ,  125,  110,  2+1,  5-10 arası,  3,  5,  yok,  2,  var,  evet,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
268000,antalya , kepez ,  21 ocak 2021,   daire ,  100,  95,  2+1,  5-10 arası,  1,  2,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
290000,antalya , kepez ,  21 ocak 2021,   daire ,  110,  106,  2+1,  5-10 arası,  1,  4,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
280000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  130,  110,  3+1,  11-15 arası,  giriş katı,  5,  klima,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  hayır,  emlak ofisinden,  hayır,  hayır 
270000,antalya , manavgat ,  21 ocak 2021,   daire ,  110,  100,  2+1,  4,  3,  3,  soba,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
650000,antalya , alanya ,  21 ocak 2021,   daire ,  120,  105,  2+1,  0,  4,  5,  klima,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
780000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  110,  96,  2+1,  1,  1,  2,  klima,  2,  var,  hayır,  mülk sahibi,  250,  limon park premium,  evet,  emlak ofisinden,  evet,  hayır 
319000,antalya , kepez ,  21 ocak 2021,   daire ,  105,  100,  2+1,  2,  1,  2,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
379000,antalya , kepez ,  21 ocak 2021,   daire ,  105,  88,  2+1,  0,  3,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
770000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  165,  155,  3+1,  16-20 arası,  4,  9,  klima,  2,  var,  hayır,  boş,  evet,  50,  evet,  emlak ofisinden,  hayır,  hayır 
260000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  100,  90,  2+1,  5-10 arası,  4,  4,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
277000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  130,  120,  2+1,  26-30 arası,  5,  7,  yok,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
430000,antalya , kepez ,  22 ocak 2021,   daire ,  135,  120,  3+1,  0,  2,  4,  klima,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
225000,antalya , kepez ,  21 ocak 2021,   daire ,  100,  90,  2+1,  1,  zemin kat,  4,  klima,  1,  var,  belirtilmemiş,  kiracılı,  hayır,  40,  belirtilmemiş,  sahibinden,  hayır,  hayır 
207000,antalya , kepez ,  21 ocak 2021,   daire ,  85,  80,  2+1,  4,  yüksek giriş,  2,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
398000,antalya , alanya ,  21 ocak 2021,   daire ,  125,  115,  2+1,  11-15 arası,  2,  5,  klima,  2,  var,  evet,  boş,  hayır,  50,  evet,  emlak ofisinden,  evet,  hayır 
590000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  150,  145,  3+1,  3,  3,  7,  klima,  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
279900,antalya , kepez ,  21 ocak 2021,   daire ,  105,  100,  2+1,  5-10 arası,  3,  3,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
650000,antalya , alanya ,  21 ocak 2021,   daire ,  75,  70,  1+1,  0,  2,  5,  klima,  1,  var,  evet,  boş,  350,  oba 1221 residence,  evet,  emlak ofisinden,  evet,  hayır 
249999,antalya , kepez ,  21 ocak 2021,   daire ,  100,  95,  2+1,  0,  yüksek giriş,  3,  soba,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
380000,antalya , konyaaltı ,  21 ocak 2021,   daire ,  75,  70,  1+1,  4,  2,  4,  doğalgaz (kombi),  1,  var,  evet,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
1150000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  115,  90,  2+1,  4,  2,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  100,  evet,  emlak ofisinden,  hayır,  hayır 
850000,antalya , konyaaltı ,  21 ocak 2021,   daire ,  165,  160,  3+1,  5-10 arası,  5,  8,  klima,  2,  var,  hayır,  boş,  hayır,  100,  belirtilmemiş,  emlak ofisinden,  hayır,  hayır 
535000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  115,  105,  2+1,  1,  3,  4,  klima,  1,  var,  hayır,  mülk sahibi,  evet,  70,  evet,  emlak ofisinden,  hayır,  hayır 
285000,antalya , manavgat ,  21 ocak 2021,   daire ,  125,  110,  2+1,  5-10 arası,  2,  3,  soba,  1,  var,  belirtilmemiş,  mülk sahibi,  hayır,  belirtilmemiş,  belirtilmemiş,  emlak ofisinden,  hayır,  hayır 
740000,antalya , konyaaltı ,  21 ocak 2021,   residence ,  165,  130,  3+1,  5-10 arası,  1,  10,  klima,  2,  var,  evet,  boş,  hayır,  150,  evet,  emlak ofisinden,  hayır,  hayır 
355000,antalya , alanya ,  21 ocak 2021,   daire ,  125,  120,  2+1,  26-30 arası,  1,  5,  klima,  1,  var,  hayır,  boş,  hayır,  40,  evet,  emlak ofisinden,  hayır,  hayır 
750000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  105,  95,  2+1,  5-10 arası,  yüksek giriş,  7,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
270000,antalya , kepez ,  21 ocak 2021,   daire ,  100,  90,  2+1,  5-10 arası,  2,  4,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
750000,antalya , alanya ,  21 ocak 2021,   daire ,  150,  140,  2+1,  5-10 arası,  8,  11,  klima,  2,  var,  hayır,  boş,  belirtilmemiş,  toros çekiç 8 evleri,  evet,  emlak ofisinden,  evet,  hayır 
435000,antalya , alanya ,  22 ocak 2021,   daire ,  72,  65,  1+1,  5-10 arası,  1,  10,  klima,  2,  var,  evet,  boş,  hayır,  200,  evet,  emlak ofisinden,  evet,  hayır 
395000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  125,  120,  2+1,  0,  1,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
850000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  200,  180,  4+1,  11-15 arası,  4,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
265000,antalya , kepez ,  21 ocak 2021,   daire ,  100,  95,  2+1,  4,  2,  3,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
255000,antalya , kepez ,  21 ocak 2021,   daire ,  105,  95,  2+1,  4,  2,  2,  klima,  1,  var,  hayır,  boş,  hayır,  0,  evet,  emlak ofisinden,  evet,  hayır 
324000,antalya , kepez ,  21 ocak 2021,   daire ,  95,  90,  2+1,  2,  1,  4,  klima,  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
340000,antalya , kepez ,  21 ocak 2021,   daire ,  125,  120,  2+1,  1,  7,  7,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
320000,antalya , kepez ,  21 ocak 2021,   daire ,  115,  105,  2+1,  0,  yüksek giriş,  6,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
450000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  95,  90,  2+1,  1,  giriş katı,  5,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
970000,antalya , alanya ,  22 ocak 2021,   daire ,  220,  210,  3+1,  11-15 arası,  4,  4,  klima,  2,  var,  evet,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
389999,antalya , muratpaşa ,  21 ocak 2021,   daire ,  195,  175,  4+1,  2,  3,  3,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
499000,antalya , manavgat ,  22 ocak 2021,   daire ,  130,  115,  3+1,  0,  2,  3,  soba,  1,  var,  belirtilmemiş,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
900000,antalya , kepez ,  21 ocak 2021,   daire ,  300,  250,  4+1,  11-15 arası,  villa tipi,  3,  klima,  2,  var,  hayır,  boş,  evet,  250,  evet,  emlak ofisinden,  hayır,  hayır 
350000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  120,  115,  2+1,  3,  kot 2,  4,  klima,  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
399000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  65,  56,  1+1,  2,  giriş katı,  2,  yok,  1,  yok,  belirtilmemiş,  boş,  300,  tema pool,  evet,  emlak ofisinden,  hayır,  hayır 
555000,antalya , alanya ,  21 ocak 2021,   daire ,  115,  110,  2+1,  0,  4,  8,  klima,  2,  var,  hayır,  boş,  evet,  150,  evet,  emlak ofisinden,  evet,  hayır 
324000,antalya , kepez ,  22 ocak 2021,   daire ,  120,  115,  2+1,  0,  3,  3,  klima,  1,  var,  hayır,  boş,  evet,  40,  evet,  emlak ofisinden,  evet,  hayır 
500000,antalya , manavgat ,  22 ocak 2021,   daire ,  185,  180,  3+1,  0,  2,  4,  klima,  2,  var,  hayır,  boş,  hayır,  0,  evet,  emlak ofisinden,  hayır,  evet 
299950,antalya , muratpaşa ,  22 ocak 2021,   daire ,  105,  100,  2+1,  1,  yüksek giriş,  4,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
920000,antalya , muratpaşa ,  22 ocak 2021,   daire ,  185,  165,  4+1,  16-20 arası,  bahçe katı,  2,  klima,  1,  var,  hayır,  boş,  hayır,  35,  evet,  emlak ofisinden,  hayır,  hayır 
800000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  175,  150,  2+1,  21-25 arası,  2,  2,  klima,  2,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
799000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  170,  160,  3+1,  5-10 arası,  1,  11,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
900000,antalya , kepez ,  22 ocak 2021,   daire ,  206,  206,  4+1,  0,  1,  11,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  hayır,  emlak ofisinden,  hayır,  hayır 
475000,antalya , alanya ,  21 ocak 2021,   daire ,  95,  87,  2+1,  11-15 arası,  yüksek giriş,  7,  klima,  1,  var,  evet,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
276000,antalya , kepez ,  21 ocak 2021,   daire ,  140,  130,  3+1,  5-10 arası,  yüksek giriş,  3,  klima,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  sahibinden,  hayır,  evet 
790000,antalya , alanya ,  21 ocak 2021,   daire ,  160,  152,  3+1,  0,  kot 4,  5,  klima,  2,  var,  evet,  boş,  hayır,  150,  evet,  emlak ofisinden,  hayır,  hayır 
315000,antalya , kepez ,  21 ocak 2021,   daire ,  100,  95,  2+1,  2,  2,  6,  klima,  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  hayır,  emlak ofisinden,  evet,  evet 
250000,antalya , serik ,  21 ocak 2021,   daire ,  135,  120,  3+1,  11-15 arası,  2,  3,  soba,  1,  var,  hayır,  kiracılı,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
445000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  100,  90,  2+1,  11-15 arası,  7,  8,  klima,  1,  var,  hayır,  kiracılı,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
495000,antalya , alanya ,  21 ocak 2021,   daire ,  70,  60,  2+1,  21-25 arası,  2,  5,  klima,  1,  var,  evet,  boş,  hayır,  30,  hayır,  emlak ofisinden,  evet,  evet 
1973400,antalya , alanya ,  21 ocak 2021,   daire ,  200,  170,  3+1,  0,  6,  6,  klima,  2,  var,  hayır,  boş,  evet,  450,  evet,  emlak ofisinden,  evet,  hayır 
335000,antalya , kepez ,  21 ocak 2021,   daire ,  150,  140,  3+1,  5-10 arası,  2,  11,  klima,  1,  var,  hayır,  boş,  hayır,  50,  evet,  emlak ofisinden,  hayır,  hayır 
464999,antalya , muratpaşa ,  21 ocak 2021,   daire ,  200,  190,  3+1,  5-10 arası,  3,  3,  klima,  2,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
197499,antalya , kepez ,  21 ocak 2021,   daire ,  85,  80,  2+1,  5-10 arası,  yüksek giriş,  3,  güneş enerjisi,  1,  var,  hayır,  mülk sahibi,  hayır,  0,  evet,  emlak ofisinden,  evet,  evet 
335000,antalya , döşemealtı ,  21 ocak 2021,   daire ,  115,  100,  2+1,  5-10 arası,  4,  5,  klima,  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  hayır,  emlak ofisinden,  hayır,  hayır 
460000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  135,  130,  3+1,  5-10 arası,  2,  4,  klima,  1,  var,  hayır,  kiracılı,  hayır,  50,  evet,  emlak ofisinden,  evet,  hayır 
648000,antalya , konyaaltı ,  21 ocak 2021,   daire ,  160,  140,  3+1,  2,  2,  5,  doğalgaz (kombi),  1,  var,  hayır,  boş,  230,  green city,  evet,  emlak ofisinden,  hayır,  hayır 
750000,antalya , muratpaşa ,  21 ocak 2021,   daire ,  110,  100,  2+1,  11-15 arası,  6,  8,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
570000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  135,  125,  2+1,  5-10 arası,  yüksek giriş,  4,  doğalgaz (kombi),  1,  var,  evet,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
550000,antalya , konyaaltı ,  21 ocak 2021,   daire ,  100,  90,  2+1,  11-15 arası,  1,  4,  yok,  1,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  hayır,  emlak ofisinden,  hayır,  hayır 
930000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  95,  85,  2+1,  0,  1,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  100,  hayır,  inşaat firmasından,  evet,  hayır 
610000,antalya , konyaaltı ,  22 ocak 2021,   daire ,  105,  100,  2+1,  4,  2,  4,  klima,  1,  var,  evet,  boş,  evet,  150,  evet,  emlak ofisinden,  evet,  hayır 
fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,aidat_(tl),site_adı,krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
245000,trabzon , akçaabat ,  19 ocak 2021,   daire ,  145,  135,  3+1,  5-10 arası,  2,  9,  merkezi,  1,  var,  hayır,  boş,  85,  toki akçaabat konutları,  evet,  emlak ofisinden,  hayır,  hayır 
335000,trabzon , akçaabat ,  19 ocak 2021,   daire ,  145,  130,  3+1,  0,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
435000,trabzon , akçaabat ,  19 ocak 2021,   daire ,  175,  150,  3+1,  5-10 arası,  2,  9,  soba,  1,  var,  hayır,  kiracılı,  evet,  70,  evet,  emlak ofisinden,  hayır,  hayır 
350000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  300,  300,  6+1,  16-20 arası,  5,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
165000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  90,  70,  2+1,  26-30 arası,  bahçe katı,  6,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
475000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  155,  130,  2+1,  5-10 arası,  7,  8,  doğalgaz (kombi),  2,  var,  hayır,  boş,  belirtilmemiş,  yeşilvadi sitesi,  evet,  emlak ofisinden,  evet,  hayır 
63000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  63,  57,  2+1,  31 ve üzeri,  zemin kat,  3,  merkezi,  1,  yok,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
600000,trabzon , ortahisar ,  20 ocak 2021,   daire ,  185,  180,  4+1,  0,  3,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
200000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  90,  90,  3+1,  21-25 arası,  kot 2,  6,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  sahibinden,  hayır,  hayır 
560000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  210,  200,  4+1,  5-10 arası,  1,  9,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  belirtilmemiş,  modern rezidans,  evet,  sahibinden,  hayır,  hayır 
280000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  145,  130,  3+1,  16-20 arası,  4,  5,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
250000,trabzon , ortahisar ,  20 ocak 2021,   daire ,  105,  105,  2+1,  16-20 arası,  3,  5,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  hayır,  25,  evet,  emlak ofisinden,  hayır,  hayır 
400000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  165,  130,  3+1,  0,  6,  8,  merkezi,  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
535000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  165,  135,  3+1,  11-15 arası,  5,  6,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
616000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  195,  175,  4+1,  0,  5,  12,  doğalgaz (kombi),  2,  var,  hayır,  boş,  100,  1461 rezidans,  evet,  emlak ofisinden,  hayır,  hayır 
385000,trabzon , ortahisar ,  19 ocak 2021,   residence ,  101,  85,  2+1,  0,  5,  12,  doğalgaz (kombi),  1,  var,  hayır,  boş,  100,  1461 rezidans,  belirtilmemiş,  emlak ofisinden,  hayır,  hayır 
199000,trabzon , arsin ,  22 ocak 2021,   daire ,  125,  116,  3+1,  5-10 arası,  yüksek giriş,  6,  soba,  2,  var,  hayır,  boş,  hayır,  0,  hayır,  emlak ofisinden,  hayır,  hayır 
420000,trabzon , yomra ,  19 ocak 2021,   daire ,  165,  150,  3+1,  0,  4,  12,  merkezi,  2,  var,  hayır,  boş,  100,  reisoğlu konakları,  evet,  emlak ofisinden,  evet,  hayır 
575000,trabzon , yomra ,  20 ocak 2021,   daire ,  220,  200,  4+1,  2,  10,  12,  merkezi,  2,  var,  hayır,  kiracılı,  140,  enam sitesi,  evet,  emlak ofisinden,  hayır,  hayır 
310000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  110,  100,  2+1,  31 ve üzeri,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
390000,trabzon , ortahisar ,  20 ocak 2021,   daire ,  172,  160,  3+1,  0,  1,  8,  merkezi,  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
475000,trabzon , yomra ,  20 ocak 2021,   daire ,  160,  150,  3+1,  0,  7,  9,  merkezi,  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  hayır 
358000,trabzon , ortahisar ,  20 ocak 2021,   daire ,  155,  145,  3+1,  0,  5,  5,  merkezi,  2,  var,  hayır,  boş,  evet,  100,  evet,  emlak ofisinden,  evet,  hayır 
466000,trabzon , yomra ,  20 ocak 2021,   daire ,  165,  145,  3+1,  0,  11,  11,  merkezi,  2,  var,  hayır,  boş,  evet,  120,  evet,  emlak ofisinden,  hayır,  hayır 
350000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  135,  110,  3+1,  0,  1,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  0,  evet,  emlak ofisinden,  hayır,  hayır 
739999,trabzon , akçaabat ,  19 ocak 2021,   daire ,  220,  190,  4+1,  1,  3,  15,  doğalgaz (kombi),  2,  var,  evet,  boş,  250,  panaroma evleri,  evet,  emlak ofisinden,  hayır,  hayır 
760000,trabzon , akçaabat ,  19 ocak 2021,   daire ,  210,  190,  4+1,  3,  7,  10,  doğalgaz (kombi),  2,  var,  hayır,  kiracılı,  150,  yalı park sitesi,  evet,  emlak ofisinden,  hayır,  hayır 
555000,trabzon , ortahisar ,  19 ocak 2021,   daire ,  164,  150,  3+1,  1,  5,  9,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
365000,trabzon , araklı ,  19 ocak 2021,   daire ,  230,  200,  2+1,  4,  5,  5,  doğalgaz (kombi),  4,  var,  hayır,  boş,  hayır,  50,  evet,  sahibinden,  evet,  evet 
